Category,Model Name,Asset Name,Location,Due Date / Issued,Calib Due/ Done Date,Atch,Parent Asset,Options
Gauges,Plain Plug Gauge 3.200-3.210mm,(79) 1-259,Magdyn,null,15-10-2021~16-10-2019,,null,
Gauges,Plain Plug Gauge 4.880-4.980,(80) 1-266,Magdyn,null,15-10-2021~16-10-2019,,null,
Measuring Instruments,Mitutoyo External Analog Micrometer 0-25mm,(81) 8141363,Magdyn,null,15-10-2021~16-10-2019,,null,
Gauges,Unik 1inch x 11.5 NPT Taper Thread Plug Gauge,(82) BF-257,Magdyn,null,09-11-2025~10-11-2023,,null,
Gauges,6-32UNC -2B (GO & NGO) Thread Plug Gauge,(83) AM517-AM547-240103-1,Magdyn,null,29-08-2025~30-08-2024,,null,
Measuring Instruments,Circumference Vernier-OD Measurement Scale,(84) 2403230528,Magdyn,null,12-02-2026~09-02-2024,,null,
Gauges,Thread Ring GO Gauge 3.625-16UN-2A,(85) C683,Magdyn,null,05-01-2026~06-01-2025,,Set2-Thread Ring GO_NOGO Gauge 3.625"-16UN-2A,
Gauges,1/2-13 UNC-2B Thread Plug Gauge Go & Nogo,(88) 240329,Magdyn,null,20-07-2025~21-07-2023,,null,
Dies_Tools,528341002 R-01 NPT Strainer 40mesh Flatten Tool ,(89) Bottom Tool,Magdyn,null,01-01-2000~01-01-2000,,40mesh Bottom Flatten Tool Set,
Dies_Tools,528341002 R-01 NPT Strainer 40mesh Flatten Tool ,(90) Guide Tool,Magdyn,null,01-01-2000~01-01-2000,,40mesh Bottom Flatten Tool Set,
Dies_Tools,528341002 R-01 NPT Strainer 40mesh Flatten Tool ,(91) Punch Tool,Magdyn,null,01-01-2000~01-01-2000,,40mesh Bottom Flatten Tool Set,
Dies_Tools,528341002 R-01 NPT Strainer 40mesh Flatten Tool ,(92) 40mesh Bottom Flatten Tool Set,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,STRAINER - 09SC .5 ST 3 and 4 Induction Welding Fi,(93) Fixture1,CO-PV Induction,2024-04-30 15:29:00~2024-04-30 11:56:16,01-01-2000~01-01-2000,,null,
Fixtures,STRAINER - 09SC .5 ST 3 and 4 Induction Welding Fi,(94) Fixture2,CO-PV Induction,2024-04-30 15:29:00~2024-04-30 11:56:16,01-01-2000~01-01-2000,,null,
Gauges,Thread Ring NOGO Gauge 3.625-16UN-2A,(95) C685,Magdyn,null,28-04-2025~29-04-2024,,Set1-Thread Ring GO_NOGO Gauge 3.625"-16UN-2A,
Gauges,Thread Ring NOGO Gauge 3.625-16UN-2A,(96) C686,Magdyn,null,05-01-2026~06-01-2025,,Set2-Thread Ring GO_NOGO Gauge 3.625"-16UN-2A,
Gauges,Set-Thread Ring GO_NOGO Gauge 3.625"-16UN-2A,(97) Set1-Thread Ring GO_NOGO Gauge 3.625"-16UN-2A,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Set-Thread Ring GO_NOGO Gauge 3.625"-16UN-2A,(98) Set2-Thread Ring GO_NOGO Gauge 3.625"-16UN-2A,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Thread Ring NOGO Gauge 3.625-16UN-2A,(99) C687,Magdyn,null,23-03-2026~24-04-2024,,Set3-Thread Ring GO_NOGO Gauge 3.625"-16UN-2A,
Gauges,Thread Ring GO Gauge 3.625-16UN-2A,(100) C684,CO-CASTFAB ENGINEERING INDIA PVT LTD,2026-05-30 19:10:15~2026-05-20 19:10:15,16-09-2026~17-09-2025,,Set3-Thread Ring GO_NOGO Gauge 3.625"-16UN-2A,
Gauges,Set-Thread Ring GO_NOGO Gauge 3.625"-16UN-2A,(101) Set3-Thread Ring GO_NOGO Gauge 3.625"-16UN-2A,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,1/2-14 NPT Taper Thread Ring Gauge,(102) FA41494,Vendor,null,14-10-2024~15-10-2022,,null,
Gauges,3/8" x 18 NPT Taper Thread Plug Gauge,(103) KP 242,Magdyn,null,21-01-2026~22-01-2024,,null,
Gauges,1x11 1/2 X1-PT L1 Basic,(104) PFK 7790,Magdyn,null,07-05-2026~08-05-2024,,null,
Gauges,1/4-20 UNC 2B Gauge-Go-HR605 NOGo-JK025,"(105) PFK 26453, PFK 26411",Magdyn,null,07-05-2026~08-05-2024,,null,
Gauges,10-32 UNF 2B Guage,"(106) PYK 1268A , PYK 1402",Magdyn,null,07-05-2026~08-05-2024,,null,
Gauges,090524 (2),(107) 4.670-4.930,Magdyn,null,31-03-2026~01-04-2024,,null,
Gauges,090524 (2),(108) 4.670-4.930 (1),Magdyn,null,31-03-2026~01-04-2024,,null,
Gauges,090524 (3),(109) 4.732-4.778,Magdyn,null,31-03-2026~01-04-2024,,null,
Gauges,090524 (3),(110) 4.732-4.778 (1),Magdyn,null,31-03-2026~01-04-2024,,null,
Gauges,090524 (4),(111) 4.770-4.830,Magdyn,null,31-03-2026~01-04-2024,,null,
Gauges,090524 (4),(112) 4.770-4.830 (1),Magdyn,null,31-03-2026~01-04-2024,,null,
Machines,M1TR,(113) VMC01,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,1/4-20 UNC 2B Gauge-Go-HR605 NOGo-JK025,(116) test01,Magdyn,null,01-01-2000~01-01-2000,,test02,
Gauges,1/4-20 UNC 2B Gauge-Go-HR605 NOGo-JK025,(117) test02,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,Float Welding Fixtures,(118) Half Cup and Bracket - Schwimmer 252076,CO-S S FABTEC,2026-04-25 19:13:27~2026-04-16 19:13:27,01-01-2000~01-01-2000,,null,
Fixtures,Float Welding Fixtures,(119) Half Cup and Shaft - Schwimmer 252076,CO-PV Induction,2026-05-28 18:58:07~2026-05-20 18:58:07,01-01-2000~01-01-2000,,null,
Measuring Instruments,VS-400 TRIMOS T2 Height Gauge,(120) 17842605,Magdyn,null,11-06-2026~12-06-2024,,null,
Fixtures,T3 Valve Welding Fixture,(121) T3 Valve Welding Fixture,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,Schwimmer Welding Fixture,(122) Schwimmer Welding Fixture Base Plate,CO-S S FABTEC,2025-08-18 17:41:44~2025-08-05 17:41:44,01-01-2000~01-01-2000,,null,
Office Assets,Mitsubishi Inverter Split AC 1.9 TON,(123) JS 22 VF-DA1,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Wear Check Plug Gauge 3.625-16 UN 2A,(124) Go Gauge-CP7722,Magdyn,null,24-06-2026~25-06-2024,,Set4-Thread Plug GO_NOGO Gauge 3.625"-16UN-2A,
Gauges,Wear Check Plug Gauge 3.625-16 UN 2A,(125) NoGo Gauge-CP7723,Magdyn,null,24-06-2026~25-06-2024,,Set4-Thread Plug GO_NOGO Gauge 3.625"-16UN-2A,
Fixtures,200x1.5 Straight Jaw,(126) 200x1.5 Straight Jaw-1,CO-Rajeev,2026-12-31 15:45:53~2026-01-20 15:45:53,01-01-2000~01-01-2000,,null,
Fixtures,200x1.5 Taper Jaw,(127) 200x1.5 Taper Jaw,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,DIN6499,(128) DIN6499,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Bore Gauge,(129) Eccentric Arm Case Bore Gauge-1,Vendor,null,01-01-2000~01-01-2000,,null,
Gauges,Bore Gauge,(130) Eccentric Arm Case Bore Gauge-2,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,T3 Valve Drop Gauge,(131) T3 Valve Drop Gauge,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,T3 Valve Mating Gauge,(132) T3 Valve Mating Gauge,Magdyn,null,01-01-2000~01-01-2000,,null,
